2026-02-17T02:06:13.000000000Z [inf]  Starting Container
2026-02-17T02:06:15.185539730Z [inf]   * Serving Flask app 'main'
2026-02-17T02:06:15.185544040Z [inf]   * Debug mode: off
2026-02-17T02:06:15.185549470Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2026-02-17T02:06:15.188713835Z [err]   * Running on all addresses (0.0.0.0)
2026-02-17T02:06:15.188728160Z [err]   * Running on http://127.0.0.1:8080
2026-02-17T02:06:15.188735428Z [err]   * Running on http://10.217.100.80:8080
2026-02-17T02:06:15.188742057Z [err]  [33mPress CTRL+C to quit[0m
2026-02-17T02:06:16.305377142Z [inf]  Saved audio: audio/CAeee6fb14798737eb581a1e1d45997205_1771293976.wav
2026-02-17T02:06:18.013387541Z [inf]  Clinic said: Thanks for calling Pivot Point Orthopedics, part of Pretty Good AI. Am I speaking with Alex?
2026-02-17T02:06:18.013394521Z [err]  100.64.0.2 - - [17/Feb/2026 02:06:18] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:12:00.217210498Z [inf]  Selected scenario: normal_new_patient
2026-02-17T02:12:00.217217293Z [err]  100.64.0.3 - - [17/Feb/2026 02:11:52] "POST /voice HTTP/1.1" 200 -
2026-02-17T02:12:20.209185400Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294333.wav
2026-02-17T02:12:20.209192608Z [inf]  Clinic said: Thanks for calling Pivot Point Orthopedics, part of Pretty Good AI. Am I speaking with Alex?
2026-02-17T02:12:20.209198645Z [inf]  Patient reply: Yes, this is Alex.
2026-02-17T02:12:20.209204309Z [err]  100.64.0.4 - - [17/Feb/2026 02:12:15] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:12:29.372536618Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294349.wav
2026-02-17T02:12:31.210306164Z [inf]  Clinic said: Alex, can you tell me your date of birth to verify your identity?
2026-02-17T02:12:32.161021528Z [inf]  Patient reply: Sure, my date of birth is March 15, 1990.
2026-02-17T02:12:32.161027537Z [err]  100.64.0.4 - - [17/Feb/2026 02:12:31] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:13:11.548273818Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294385.wav
2026-02-17T02:13:11.548285082Z [inf]  Clinic said: Thanks, Alex. The birthday you gave doesn't match our records, but for demo purposes, I'll accept it. How may I help you today? The date of birth doesn't match our records, but for demo purposes, I'll accept it. How can I help you today?
2026-02-17T02:13:11.548290563Z [inf]  Patient reply: I'd like to schedule a new patient consultation for next week, please.
2026-02-17T02:13:11.548296603Z [err]  100.64.0.5 - - [17/Feb/2026 02:13:08] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:13:51.548367549Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294422.wav
2026-02-17T02:13:51.548373679Z [inf]  Clinic said: Let me check available new patient consultation slots for next week. One moment while I find auctions for you. We have openings for new patient consultations next week with both Dr. Adam Bricker and Dr. Duvy Houser. Would you prefer a certain day or time of day, morning or afternoon?
2026-02-17T02:13:51.548381884Z [inf]  Patient reply: I’d prefer a morning appointment, please.
2026-02-17T02:13:51.548388134Z [err]  100.64.0.2 - - [17/Feb/2026 02:13:44] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:14:10.968668079Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294445.wav
2026-02-17T02:14:10.968673800Z [inf]  Clinic said: Got the next available morning slot is Tuesday, February 24th at 9 a.m. With dr Adam Bricker does that work for you, or would you like a different day?
2026-02-17T02:14:10.968678673Z [inf]  Patient reply: That works for me, thank you!
2026-02-17T02:14:10.968685104Z [err]  100.64.0.6 - - [17/Feb/2026 02:14:07] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:14:40.970501877Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294480.wav
2026-02-17T02:14:41.889569009Z [inf]  Clinic said: Perfect. Before I book your appointment on Tuesday, February 24th at 9 a.m. with Dr. Adam Bricker, can you briefly share the reason for your visit? Great. I'll book you for Tuesday, February 24th at 9 a.m. with Dr. Adam Bricker.
2026-02-17T02:14:42.921432203Z [inf]  Patient reply: I'm experiencing some persistent headaches and would like to get them checked out.
2026-02-17T02:14:42.921437422Z [err]  100.64.0.3 - - [17/Feb/2026 02:14:42] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:15:12.301547396Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294507.wav
2026-02-17T02:15:12.301553547Z [inf]  Clinic said: Got it. Let me confirm. I'm booking you for a new patient consultation on Tuesday, February 24th at 9 a.m. with Dr. Adam Bricker for persistent headaches. Is that correct?
2026-02-17T02:15:12.301561766Z [inf]  Patient reply: Yes, that’s correct. Thank you!
2026-02-17T02:15:12.301568138Z [err]  100.64.0.7 - - [17/Feb/2026 02:15:09] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:15:52.509168619Z [inf]  Patient reply: Yes, please send me a text reminder. Thank you!
2026-02-17T02:15:52.509181577Z [err]  100.64.0.6 - - [17/Feb/2026 02:15:45] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:15:52.509380613Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294542.wav
2026-02-17T02:15:52.509390424Z [inf]  Clinic said: Your appointment is set for Tuesday February 24th at 9 a.m. with Dr. Adam Bricker. Please bring a government-issue photo ID and your insurance card. Would you like a text reminder for this appointment? Your appointment is booked.
2026-02-17T02:16:11.563167842Z [inf]  Saved audio: audio/CAdeace7737a4a7f6523d78b9aec4d3aa8_1771294566.wav
2026-02-17T02:16:11.563173457Z [inf]  Clinic said: A text reminder for your appointment has just been sent to your phone ending in 1-895. Let me know if you need anything else.
2026-02-17T02:16:11.563178564Z [inf]  Patient reply: Thank you! I appreciate it.
2026-02-17T02:16:11.563182832Z [inf]  
2026-02-17T02:16:11.563186731Z [inf]  ========== FULL TRANSCRIPT ==========
2026-02-17T02:16:11.563191085Z [inf]  CLINIC: Thanks for calling Pivot Point Orthopedics, part of Pretty Good AI. Am I speaking with Alex?
2026-02-17T02:16:11.563196060Z [inf]  PATIENT: Yes, this is Alex.
2026-02-17T02:16:11.563201073Z [inf]  CLINIC: Alex, can you tell me your date of birth to verify your identity?
2026-02-17T02:16:11.563205452Z [inf]  PATIENT: Sure, my date of birth is March 15, 1990.
2026-02-17T02:16:11.563209784Z [inf]  CLINIC: Thanks, Alex. The birthday you gave doesn't match our records, but for demo purposes, I'll accept it. How may I help you today? The date of birth doesn't match our records, but for demo purposes, I'll accept it. How can I help you today?
2026-02-17T02:16:11.563214203Z [inf]  PATIENT: I'd like to schedule a new patient consultation for next week, please.
2026-02-17T02:16:11.563220143Z [inf]  CLINIC: Let me check available new patient consultation slots for next week. One moment while I find auctions for you. We have openings for new patient consultations next week with both Dr. Adam Bricker and Dr. Duvy Houser. Would you prefer a certain day or time of day, morning or afternoon?
2026-02-17T02:16:11.563226128Z [inf]  PATIENT: I’d prefer a morning appointment, please.
2026-02-17T02:16:11.563232082Z [inf]  CLINIC: Got the next available morning slot is Tuesday, February 24th at 9 a.m. With dr Adam Bricker does that work for you, or would you like a different day?
2026-02-17T02:16:11.563238338Z [inf]  PATIENT: That works for me, thank you!
2026-02-17T02:16:11.567468608Z [inf]  CLINIC: Perfect. Before I book your appointment on Tuesday, February 24th at 9 a.m. with Dr. Adam Bricker, can you briefly share the reason for your visit? Great. I'll book you for Tuesday, February 24th at 9 a.m. with Dr. Adam Bricker.
2026-02-17T02:16:11.567487637Z [inf]  PATIENT: I'm experiencing some persistent headaches and would like to get them checked out.
2026-02-17T02:16:11.567495979Z [inf]  CLINIC: Got it. Let me confirm. I'm booking you for a new patient consultation on Tuesday, February 24th at 9 a.m. with Dr. Adam Bricker for persistent headaches. Is that correct?
2026-02-17T02:16:11.567503209Z [inf]  PATIENT: Yes, that’s correct. Thank you!
2026-02-17T02:16:11.567509818Z [inf]  CLINIC: Your appointment is set for Tuesday February 24th at 9 a.m. with Dr. Adam Bricker. Please bring a government-issue photo ID and your insurance card. Would you like a text reminder for this appointment? Your appointment is booked.
2026-02-17T02:16:11.567516978Z [inf]  PATIENT: Yes, please send me a text reminder. Thank you!
2026-02-17T02:16:11.567523466Z [inf]  CLINIC: A text reminder for your appointment has just been sent to your phone ending in 1-895. Let me know if you need anything else.
2026-02-17T02:16:11.567529886Z [inf]  PATIENT: Thank you! I appreciate it.
2026-02-17T02:16:11.567537397Z [inf]  
2026-02-17T02:16:11.567545804Z [inf]  ========== END TRANSCRIPT ==========
2026-02-17T02:16:11.567552758Z [inf]  
2026-02-17T02:16:11.567559480Z [inf]  
2026-02-17T02:16:11.567569233Z [inf]  ========== EVALUATION ==========
2026-02-17T02:16:11.567582917Z [inf]  Task Completion: Yes  
2026-02-17T02:16:11.567591696Z [inf]  Confusion Detected: Yes (The clinic's system initially flagged the patient's date of birth but still allowed the conversation to proceed. This may create confusion about the records.)  
2026-02-17T02:16:11.567598413Z [inf]  Hallucination: No (There are no indicators of hallucination; the responses are relevant to the conversation.)  
2026-02-17T02:16:11.571116172Z [inf]  Conversation Quality Issues: Repetition of the phrase "The date of birth doesn't match our records, but for demo purposes, I'll accept it" is unnecessary; there is a typo in "Got the next available..." which should be "The next available..."  
2026-02-17T02:16:11.571122280Z [inf]  Overall Score: 7
2026-02-17T02:16:11.571127898Z [inf]  ========== END EVALUATION ==========
2026-02-17T02:16:11.571133940Z [inf]  
2026-02-17T02:16:11.571139532Z [inf]  Saved evaluation report: reports/CAdeace7737a4a7f6523d78b9aec4d3aa8_evaluation.txt
2026-02-17T02:16:11.571253585Z [err]  100.64.0.8 - - [17/Feb/2026 02:16:10] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:18:02.497702466Z [inf]  Selected scenario: normal_reschedule
2026-02-17T02:18:02.497706785Z [err]  100.64.0.3 - - [17/Feb/2026 02:17:55] "POST /voice HTTP/1.1" 200 -
2026-02-17T02:18:12.374373270Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294692.wav
2026-02-17T02:18:13.632436830Z [inf]  Clinic said: para español, oprima el 2.
2026-02-17T02:18:14.746478017Z [inf]  Patient reply: Hello, I need to check the date of my appointment and reschedule it to sometime next week.
2026-02-17T02:18:14.746592529Z [err]  100.64.0.9 - - [17/Feb/2026 02:18:14] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:18:44.773071445Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294716.wav
2026-02-17T02:18:44.773076457Z [inf]  Clinic said: got it. To get started, can you please confirm your date of birth? This helps me verify your identity before I check your appointment details.
2026-02-17T02:18:44.773081774Z [inf]  Patient reply: Sure, my date of birth is March 15, 1985.
2026-02-17T02:18:44.773086164Z [err]  100.64.0.3 - - [17/Feb/2026 02:18:37] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:19:15.189855332Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294752.wav
2026-02-17T02:19:15.189862086Z [inf]  Clinic said: I see your birthday doesn't match what we have at our records, but for demo purposes, I'll accept it. Let me check your upcoming appointment and help you reschedule for next week. One moment please. You have a new patient consultation scheduled for Monday, February 24th at 9 a.m. and another on Tuesday, February 25th at 9 a.m. Are you looking to reschedule both appointments or just one of them?
2026-02-17T02:19:15.189869278Z [inf]  Patient reply: I only need to reschedule the appointment on February 24th.
2026-02-17T02:19:15.189875720Z [err]  100.64.0.5 - - [17/Feb/2026 02:19:13] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:19:55.178042298Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294788.wav
2026-02-17T02:19:55.178049738Z [inf]  Clinic said: I'll help you reschedule your new patient consultation on February 24th to sometime next week. Let me start that process now. Got it. Let me find open appointment times for next week so you can move your February 24th appointment. One moment while I check what's available. I'm having a little trouble finding the exact appointment to reschedule.
2026-02-17T02:19:55.178057199Z [inf]  Patient reply: That's okay, take your time!
2026-02-17T02:19:55.178074248Z [err]  100.64.0.6 - - [17/Feb/2026 02:19:50] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:20:25.487087112Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294822.wav
2026-02-17T02:20:25.487091204Z [inf]  Clinic said: You have a new patient consultation with Dr. Bricker on Tuesday, February 24th at 9 a.m. I'll look for open times next week so we can reschedule that visit. One moment while I check availability. Here are some options for next week. We have a new patient consultation with Dr. Bricker available on Wednesday, February 25th at 9.45 a.m. Would you like to take that one or do you prefer...
2026-02-17T02:20:26.647066476Z [inf]  Patient reply: I’d prefer the appointment on Wednesday, February 25th at 9:45 a.m. Thank you!
2026-02-17T02:20:26.647080501Z [err]  100.64.0.8 - - [17/Feb/2026 02:20:26] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:20:56.649212122Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294849.wav
2026-02-17T02:20:56.649226587Z [inf]  Clinic said: To confirm, you want to move your new patient consultation with Dr. Bricker to Wednesday, February 25th at 945 a.m., is that correct?
2026-02-17T02:20:56.649234198Z [inf]  Patient reply: Actually, I’d like to reschedule it for sometime next week instead.
2026-02-17T02:20:56.649242185Z [err]  100.64.0.10 - - [17/Feb/2026 02:20:51] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:21:16.660222467Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294874.wav
2026-02-17T02:21:16.660229890Z [inf]  Clinic said: No problem. We have openings on Thursday, February 26th, and Friday, February 27th in the morning. Do you have a day or time that works best for you next week?
2026-02-17T02:21:16.711587607Z [inf]  Patient reply: I’d like to reschedule for Thursday morning, please.
2026-02-17T02:21:16.715425500Z [err]  100.64.0.8 - - [17/Feb/2026 02:21:16] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:21:56.945883271Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294910.wav
2026-02-17T02:21:56.945889450Z [inf]  Clinic said: We have Thursday, February 26th at 9 a.m., 9.45 a.m., and 10.30 a.m. available. Which time do you prefer? There are three openings Thursday morning, 9 a.m., 9.45 a.m., and 10.30 a.m. Which one would you like?
2026-02-17T02:21:56.945896881Z [inf]  Patient reply: I would like to reschedule my appointment for Thursday, February 26th at 9 a.m., please.
2026-02-17T02:21:56.945902572Z [err]  100.64.0.2 - - [17/Feb/2026 02:21:53] "POST /recording HTTP/1.1" 200 -
2026-02-17T02:22:26.236635764Z [inf]  Saved audio: audio/CAc1dc22a9c896125e55fbdcde82cbf617_1771294938.wav
2026-02-17T02:22:26.236641674Z [inf]  Clinic said: You're requesting to move your visit to Thursday, February 26th at 9 a.m. with Dr. Bricker. Can you confirm this new date and time is what you want before I make the change?
2026-02-17T02:22:26.236647518Z [inf]  Patient reply: Actually, I’d like to reschedule for sometime next week instead.
2026-02-17T02:22:26.236653610Z [inf]  
2026-02-17T02:22:26.236659034Z [inf]  ========== FULL TRANSCRIPT ==========
2026-02-17T02:22:26.236666100Z [inf]  CLINIC: para español, oprima el 2.
2026-02-17T02:22:26.236671045Z [inf]  PATIENT: Hello, I need to check the date of my appointment and reschedule it to sometime next week.
2026-02-17T02:22:26.236676671Z [inf]  CLINIC: got it. To get started, can you please confirm your date of birth? This helps me verify your identity before I check your appointment details.
2026-02-17T02:22:26.236682056Z [inf]  PATIENT: Sure, my date of birth is March 15, 1985.
2026-02-17T02:22:26.236686630Z [inf]  CLINIC: I see your birthday doesn't match what we have at our records, but for demo purposes, I'll accept it. Let me check your upcoming appointment and help you reschedule for next week. One moment please. You have a new patient consultation scheduled for Monday, February 24th at 9 a.m. and another on Tuesday, February 25th at 9 a.m. Are you looking to reschedule both appointments or just one of them?
2026-02-17T02:22:26.236715390Z [inf]  PATIENT: I only need to reschedule the appointment on February 24th.
2026-02-17T02:22:26.236720749Z [inf]  CLINIC: I'll help you reschedule your new patient consultation on February 24th to sometime next week. Let me start that process now. Got it. Let me find open appointment times for next week so you can move your February 24th appointment. One moment while I check what's available. I'm having a little trouble finding the exact appointment to reschedule.
2026-02-17T02:22:26.239245093Z [inf]  PATIENT: That's okay, take your time!
